Authors,Year,Paper,Country,MDS,Data Source Primary,Data Source Secondary,Algorithm,Task,Cross Validation,Performance Metric,Sample Size,Dataset,Goal,Abstract,Person,Notes,Wearable Location
Debbie de Graaf et al.,2024,The Sound of Parkinson's Disease: A Model of Audible Bradykinesia,Netherlands,Bradykinesia,,Video,"k-clustering, DTW",Finger tapping,NA,NA,137 Smartphone Videos,Own Recruitment,"Visualize and understand the archetypal progression of amplitude decrement in finger-tapping tasks among PD patients. By applying time series clustering methods, the researchers aimed to identify distinct patterns of bradykinesia, which could enhance the understanding and assessment of motor symptoms in Parkinson's disease.","Parkinson�s disease is diagnosed based on expert clinical observation of movements. One important clinical feature is decrement, whereby the range of finger motion decreases over the course of the observation. This decrement has been assumed to be linear but has not been examined closely. We previously developed a method to extract a time series representation of a finger-tapping clinical test from 137 smartphone video recordings. Here, we show how the signal can be processed to visualize archetypal progression of decrement. We use k-means with features derived from dynamic time warping to compare similarity of time series. To generate the archetypal time series corresponding to each cluster, we apply both a simple arithmetic mean and dynamic time warping barycenter averaging to the time series belonging to each cluster. Visual inspection of the cluster-average time series showed two main trends. These corresponded well with participants with no bradykinesia and participants with severe bradykinesia. The visualizations support the concept that decrement tends to present as a linear decrease in range of motion over time.",IC,,
Babayan et al.,2023,Major Features for Bradykinesia Classification in Parkinson Diseased Patients,Lebanon,Bradykinesia,,"Wearable, Triaxial Accelerometer, Gyroscope, EM, Orthogonal
Accelerometers, IMU",KNN,"Finger tapping, lower and upper limb movements",NA,Accuracy,17 Bradykinesia,Michael J. Fox Foundation,Feature extraction and classification of bradykinesia using wearable sensor data,"Monitoring motor function in patients with
Parkinson's disease is essential to improve symptom
administration and avoid pathological complications. The goal of
this project is to examine the best possible features from
bradykinesia patient movements taken from wearable sensors
installed on their limbs. Elimination of constant features,
correlation-based feature selection, and one-way ANOVA were
the methods used to find important features used for the training
of machine learners from a combination including temporal,
spectral, and statistical features. The results show that achieving
higher machine learner accuracies is ensured by critically
important features that include the fast Fourier transform,
maximal amplitude, Benford correlation, and sample entropy.",NC,,"Wrist, Fingers, Arms, Legs"
Demrozi et al.,2019,Toward a Wearable System for Predicting Freezing of Gait in People Affected by Parkinson's Disease,Italy,FoG,,"Wearable, Triaxial Accelerometer",KNN,NA,"K-fold (3,5), LOOS","F1-Score, Sensitivity, Specificity",10 FoG,Daphnet,Prediction: Predict FoG by identifying pre-FoG events,"Some wearable solutions exploiting on-body
acceleration sensors have been proposed to recognize
Freezing of Gait (FoG) in people affected by Parkinson Disease
(PD). Once a FoG event is detected, these systems
generate a sequence of rhythmic stimuli to allow the patient
restarting the gait. While these solutions are effective
in detecting FoG events, they are unable to predict FoG
to prevent its occurrence. This paper fills in the gap by
presenting a machine learning-based approach that classifies
accelerometer data from PD patients, recognizing a
pre-FOG phase to further anticipate FoG occurrence in advance.
Gait was monitored by three tri-axial accelerometer
sensors worn on the back, hip and ankle. Gait features were
then extracted from the accelerometer�s raw data through
data windowing and non-linear dimensionality reduction.
A k-nearest neighbor algorithm (k-NN) was used to classify
gait in three classes of events: pre-FoG, no-FoG and
FoG. The accuracy of the proposed solution was compared
to state-of-the-art approaches. Our study showed that: (i)
we achieved performances overcoming the state-of-the-art
approaches in terms of FoG detection, (ii) we were able,
for the very first time in the literature, to predict FoG by
identifying the pre-FoG events with an average sensitivity
and specificity of, respectively, 94.1% and 97.1%, and (iii)
our algorithm can be executed on resource-constrained
devices. Future applications include the implementation on
a mobile device, and the administration of rhythmic stimuli
by a wearable device to help the patient overcome the FoG",NC,,"Back, Hip, Ankle"
Zhang et al.,2023,WM�STGCN: A Novel Spatiotemporal Modeling Method for Parkinsonian Gait Recognition,South Korea,PD ,,Video,"KNN, DT, ADA, ST-GCN, LSTM",Walking,NA,"Accuracy, Precisin, Sensitivity, Specificity, F1-Score, false alarm, miss rate","150 PD, 160 Control",Own Recruitment,Recognition of Parkinsonian gait from forward walking videos,"Parkinson�s disease (PD) is a neurodegenerative disorder that causes gait abnormalities.
Early and accurate recognition of PD gait is crucial for effective treatment. Recently, deep learning
techniques have shown promising results in PD gait analysis. However, most existing methods
focus on severity estimation and frozen gait detection, while the recognition of Parkinsonian gait
and normal gait from the forward video has not been reported. In this paper, we propose a novel
spatiotemporal modeling method for PD gait recognition, named WM�STGCN, which utilizes
a Weighted adjacency matrix with virtual connection and Multi-scale temporal convolution in a
Spatiotemporal Graph Convolution Network. The weighted matrix enables different intensities to be
assigned to different spatial features, including virtual connections, while the multi-scale temporal
convolution helps to effectively capture the temporal features at different scales. Moreover, we
employ various approaches to augment skeleton data. Experimental results show that our proposed
method achieved the best accuracy of 87.1% and an F1 score of 92.85%, outperforming Long shortterm
memory (LSTM), K-nearest neighbors (KNN), Decision tree, AdaBoost, and ST�GCN models.
Our proposed WM�STGCN provides an effective spatiotemporal modeling method for PD gait
recognition that outperforms existing methods. It has the potential for clinical application in PD
diagnosis and treatment",NC,,
Watts et al.,2024,Machine learning model comparison for freezing of gait prediction in advanced Parkinson's disease,United States,FoG,,Wearable,"KNN, LOGR, NB, RF, SVM",Stand-And-Walk,5-fold,"Accuracy, AUC, F1-Score, NPV, PPV, Sensitivity, Specificity",21 FoG,Sensor data,Classification: Classift freezers from non-freezers in advance PD.,"Introduction: Freezing of gait (FOG) is a paroxysmal motor phenomenon that
increases in prevalence as Parkinson's disease (PD) progresses. It is associated
with a reduced quality of life and an increased risk of falls in this population.
Precision-based detection and classi?cation of freezers are critical to developing
tailored treatments rooted in kinematic assessments.
Methods: This study analyzed instrumented stand-and-walk (SAW) trials from
advanced PD patients with STN-DBS. Each patient performed two SAW trials in
their OFF Medication�OFF DBS state. For each trial, gait summary statistics from
wearable sensors were analyzed by machine learning classi?cation algorithms.
These algorithms include k-nearest neighbors, logistic regression, na�ve Bayes,
random forest, and support vector machines (SVM). Each of these models were
selected for their high interpretability. Each algorithm was tasked with classifying
patients whose SAW trials MDS-UPDRS FOG subscore was non-zero as assessed
by a trained movement disorder specialist. These algorithms� performance was
evaluated using strati?ed ?ve-fold cross-validation.
Results: A total of 21 PD subjects were evaluated (average age 64.24 years,
16 males, mean disease duration of 14 years). Fourteen subjects had freezing
of gait in the OFF MED/OFF DBS. All machine learning models achieved
statistically similar predictive performance (p < 0.05) with high accuracy. Analysis
of random forests� feature estimation revealed the top-ten spatiotemporal
predictive features utilized in the model: foot strike angle, coronal range of
motion [trunk and lumbar], stride length, gait speed, lateral step variability, and
toe-off angle.
Conclusion: These results indicate that machine learning effectively classi?es
advanced PD patients as freezers or nonfreezers based on SAW trials in
their non-medicated/non-stimulated condition. The machine learning models,
speci?cally random forests, not only rely on but utilize salient spatial and
temporal gait features for FOG classi?cation.",NC,,
Goyal et al.,2024,Objective and Automatic Assessment of Bradykinesia in Parkinson's Patients Using New Repetitive Pointing Task with Machine Learning Approach,India,Bradykinesia,,"Inertial sensors, Accelerometer, Gyroscope","KNN, NNC","Finger tapping, hand movements","NNC, Hold-out",Accuracy,"10 Tremor, 10 Bradykinesia, 20 Control",Own Recruitment,"The primary objective was to develop an objective assessment tool for detecting tremor and bradykinesia in PD patients. By utilizing the A-WEAR bracelet and applying machine learning algorithms to the collected data, the researchers aimed to provide a more accurate and sophisticated diagnosis method, enhancing clinical convenience for both patients and healthcare providers.","Parkinson�s disease patients face numerous motor symptoms that eventually make their life different from those of normal healthy controls. Out of these motor symptoms, tremor and bradykinesia, are relatively prevalent in all stages of this disease. The assessment of these symptoms is usually performed by traditional methods where the accuracy of results is still an open question. This research proposed a solution for an objective assessment of tremor and bradykinesia in subjects with PD (10 older adults aged greater than 60 years with tremor and 10 older adults aged greater than 60 years with bradykinesia) and 20 healthy older adults aged greater than 60 years. Physical movements were recorded by means of an AWEAR bracelet developed using inertial sensors, i.e., 3D accelerometer and gyroscope. Participants performed upper extremities motor activities as adopted by neurologists during the clinical assessment based on Unified Parkinson�s Disease Rating Scale (UPDRS). For discriminating the patients from healthy controls, temporal and spectral features were extracted, out of which non-linear temporal and spectral features show greater difference. Both supervised and unsupervised machine learning classifiers provide good results. Out of 40 individuals, neural net clustering discriminated 34 individuals in correct classes, while the KNN approach discriminated 91.7% accurately. In a clinical environment, the doctor can use the device to comprehend the tremor and bradykinesia of patients quickly and with higher accuracy.",IC,,
Hussain et al.,2023,Enhancing Parkinson's disease identification using ensemble classifier and data augmentation techniques in machine learning,India,PD,,"Clinical Data, Speech","KNN, RF, SVM",Analyze voice recordings and clincal data,k-fold,"Accuracy, AUC, Confusion Matrix, F1-Score, Precision, Recall",885 PD,Own Recruitment,"Detection: Early detection of PD using ML, focused on ensemble classifier-based approach","Parkinson's disease (PD) is a devastating neurological syndrome that affects millions of people worldwide.
For the successful treatment and control of PD, it is essential to detect it early and diagnose it accurately.
Machine learning (ML) algorithms have shown promising results in identifying PD based on
various clinical and non-invasive measures. This paper proposes an ensemble classifier-based method
to identify PD using ML algorithms. We consider two classes of PD, namely, healthy controls and PD
patients. Our approach involves the use of feature selection, feature extraction, and classification techniques
to develop a robust and accurate model. We use a dataset that includes clinical measures and necessary
features from patients with PD and healthy controls. Our outcomes demonstrate the effectiveness
of the proposed method in accurately identifying PD and highlight the importance of ML algorithms in
assisting with early detection and diagnosis of PD.",NC,,
Pedrosa et al.,2018,Machine Learning Application to Quantify the Tremor Level for Parkinson's Disease Patients,Brazil,PD,,Laser System,"KNN, SVM",remor measurement with the patient holding a reflective marker on the fingertip for 60 seconds,LOPOCV,"Accuracy, Precision, TPR",16 PD,PhysioBank,"Develop a non-invasive system to classify the intensity of Parkinson's tremor and monitor symptom progression, aiding neurologists in treatment optimization.","Parkinson's disease (PD) is a neurodegenerative disorder with progressive nature. It causes motor symptoms such as resting tremor, bradykinesia and others movement disorders. Because of its progressive nature, this disease needs a continuous monitoring of motor symptoms. Health Monitoring Systems are widely used to monitor the disease progress, improving the treatment and minimizing the drug side effects. In this research, we developed two predictive models using a supervised machine learning approach. These models can classify the Parkinson disease's rest tremor between high or low frequencies, showing the intensity of Parkinson's motor symptom. This classification allows the detailed monitoring of the medication's effectiveness and the disease progress. In our validation, we applied leave-one-out cross-validation methods to classify the level of the PD tremor. In our results, we reached a classification accuracy of 92.8%. Therefore, this work proposes a new approach to classifying PD tremor and improving the the patients quality�s live on treatment, using non-invasive health monitoring systems improved by machine learning classification algorithms.",IC,,
Cala et al,2023,Machine Learning Assessment of Spasmodic Dysphonia Based on Acoustical and Perceptual Parameters,Italy,Dystonia,,Speech,"KNN, SVM, RF",Speech,LOSO,"Accuracy, AUC, F1-Score, Precision, Sensitivity, Specificity","28 Dystonia, 28 Speech Samples",Own Recruitment,Develop non-invasive system using ML classifying the severity of AdSD,"Adductor spasmodic dysphonia is a type of adult-onset focal dystonia characterized by
involuntary spasms of laryngeal muscles. This paper applied machine learning techniques for the
severity assessment of spasmodic dysphonia. To this aim, 7 perceptual indices and 48 acoustical
parameters were estimated from the Italian word /a�jwOe/ emitted by 28 female patients, manually
segmented from a standardized sentence and used as features in two classification experiments.
Subjects were divided into three severity classes (mild, moderate, severe) on the basis of the G
(grade) score of the GRB scale. The first aim was that of finding relationships between perceptual
and objective measures with the Local Interpretable Model-Agnostic Explanations method. Then,
the development of a diagnostic tool for adductor spasmodic dysphonia severity assessment was
investigated. Reliable relationships between G; R (Roughness); B (Breathiness); Spasmodicity; and the
acoustical parameters: voiced percentage, F2 median, and F1 median were found. After data scaling,
Bayesian hyperparameter optimization, and leave-one-out cross-validation, a k-nearest neighbors
model provided 89% accuracy in distinguishing patients among the three severity classes. The
proposed methods highlighted the best acoustical parameters that could be used jointly with GRB
indices to support the perceptual evaluation of spasmodic dysphonia and provide a tool to help
severity assessment of spasmodic dysphonia.",NC,,
Mera et al.,2013,Objective Motion Sensor Assessment Highly Correlated with Scores of Global Levodopa-Induced Dyskinesia in Parkinson's Disease,United States,Dyskinesia,,"Wearable, Triaxial Gyroscope, Triaxial Accelerometer",LR,Limb movements while sitting,LOOCV,"CC, RMSE",15 Dyskinesia,Own Recruitment,Develop a severity scoring algorithm to predict dykinesia severity using wearables,"Background: Chronic use of medication for treating Parkinson's disease (PD) can give rise to peak-dose dyskinesia. Adjustments
in medication often sacrifice control of motor symptoms, and thus balancing this trade-off poses a significant challenge for disease
management.
Objective: To determine whether a wrist-worn motion sensor unit could be used to ascertain global dyskinesia severity over a
levodopa dose cycle and to develop a severity scoring algorithm highly correlated with clinician ratings.
Methods: Fifteen individuals with PD were instrumented with a wrist-worn motion sensor unit, and data were collected with
arms in resting and extended positions once every hour for three hours after taking a levodopa dose. Two neurologists blinded
to treatment status viewed subject videos and rated global and upper extremity dyskinesia severity based on the modified
Abnormal Involuntary Movement Scale (mAIMS). Linear regression models were developed using kinematic features extracted
from motion sensor data and extremity, global, or combined (average of extremity and global) mAIMS scores.
Results: Dyskinesia occurring during a levodopa dose cyclewas successfully measured using a wrist-worn sensor. The logarithm
of the power spectrum area between 0.3�3 Hz and the combined clinician scores resulted in the best model performance, with a
correlation coefficient between clinician and model scores of 0.81 and root mean square error of 0.55, both averaged across the
arms resting and extended postures.
Conclusions: One sensor unit worn on either hand can effectively predict global dyskinesia severity during the arms resting or
extended positions",NC,,Wrist
Latorre et al.,2021,The Expanding Horizon of Neural Stimulation for Hyperkinetic Movement Disorders,Italy,"Dyskinesia, ET, Tremor",,"LFP, EEG, MEG, EMG, Wearable",LogR,NA,NA,"Sensitivity, Specificity",NA,NA,Discusses the potential of ML for feature extraction,"Novel methods of neural stimulation are transforming the management of hyperkinetic
movement disorders. In this review the diversity of approach available is showcased. We
first describe the most commonly used features that can be extracted from oscillatory
activity of the central nervous system, and how these can be combined with an
expanding range of non-invasive and invasive brain stimulation techniques. We then shift
our focus to the periphery using tremor and Tourette�s syndrome to illustrate the utility
of peripheral biomarkers and interventions. Finally, we discuss current innovations which
are changing the landscape of stimulation strategy by integrating technological advances
and the use of machine learning to drive optimization.",NC,,
Wang et al.,2021,Predictive modeling of spread in adult-onset isolated dystonia: Key properties and effect of tremor inclusion,United States,Isolated Dystonia,,Clinical Data,LogR,NA,Bootstrapping,AUC,1008 Dystonia,Dystonia Coalition Natural History Project,Develop and validate predicitive ML algorithms to predict individual risk of spread for isolated dystonia,"Background and purpose: Several clinical and demographic factors relate to anatomic
spread of adult-�onset isolated dystonia, but a predictive model is still lacking. The aims
of this study were: (i) to develop and validate a predictive model of anatomic spread of
adult-�onset isolated dystonia; and (ii) to evaluate whether presence of tremor associated
with dystonia influences model predictions of spread.
Methods: Adult-�onset isolated dystonia participants with focal onset from the Dystonia
Coalition Natural History Project database were included. We developed two predic-
tion models, one with dystonia as sole disease manifestation (�dystonia-�only�) and one
accepting dystonia OR tremor in any body part as disease manifestations (�dystonia OR
tremor�). Demographic and clinical predictors were selected based on previous evidence,
clinical plausibility of association with spread, or both. We used logistic regressions and
evaluated model discrimination and calibration. Internal validation was carried out based
on bootstrapping.
Results: Both predictive models showed an area under the curve of 0.65 (95% confidence
intervals 0.62��0.70 and 0.62��0.69, respectively) and good calibration after internal vali-
dation. In both models, onset of dystonia in body regions other than the neck, older age,
depression and history of neck trauma were predictors of spread.
Conclusions: This predictive modeling of spread in adult-�onset isolated dystonia based
on accessible predictors (demographic and clinical) can be easily implemented to inform
individuals� risk of spread. Because tremor did not influence prediction of spread, our
results support the argument that tremor is a part of the dystonia syndrome, and not an
independent or coincidental disorder.",NC,,
Schappert et al.,2024,Automated Video-Based Approach for the Diagnosis of Tourette Syndrome,Germany,TS,,Video,LogR,Tic Analysis,Yes,"Accuracy, AUC","42 TS, 42 Control, 214 Video Samples",Own Recruitment,Assess potential of automated video-based tic detection,"Abstract: Background: The occurrence of tics is the main basis for the diagnosis of Gilles de la Tourette
syndrome (GTS). Video-based tic assessments are time consuming.
Objective: The aim was to assess the potential of automated video-based tic detection for discriminating
between videos of adults with GTS and healthy control (HC) participants.
Methods: The quantity and temporal structure of automatically detected tics/extra movements in videos from
adults with GTS (107 videos from 42 participants) and matched HCs were used to classify videos using crossvalidated
logistic regression.
Results: Videos were classified with high accuracy both from the quantity of tics (balanced accuracy of 87.9%)
and the number of tic clusters (90.2%). Logistic regression prediction probability provides a graded measure of
diagnostic confidence. Expert review of about 25% of lower-confidence predictions could ensure an overall
classification accuracy above 95%.
Conclusions: Automated video-based methods have a great potential to support quantitative assessment and
clinical decision-making in tic disorders.",NC,,
Mittra et al.,2018,"Classification of Subjects with Parkinson�s
Disease Using Gait Data Analysis",India,FoG,,"Wearable, Accelerometer, Gyroscope","Logistic Regression, DT, RF, SVM, KNN",NA,GridSearchCV,"Accuracy, Precision, Recall, F1-Score","93 PD, 73 Control",Physionet GaitPDB,Detection of Parkinson's Disease using gait analysis data,"Gait Analysis of Parkinson�s Disease (PD)
Patients and Control Objects has been analyzed to show
differences in PD Patients and Control Objects. Using data
provided by Phisonet�s Gaitpdb database (in which 8 sensors
have been applied to each foot of the subjects to calculate the
Vertical Ground Reaction Forces (VGRF)), data compression
has been performed using 7 statistical functions to get a
representative image of the data. The statistical functions
namely Minimum, Maximum, Mean, Median, Standard
Deviation, Skewness, and Kurtosis have been used to compress
over 3 million tuples into 310 tuples. Finally, various Machine
Learning techniques have been applied to the transformed
dataset to perform detection of Parkinson�s Disease. The
classification has been performed using Logistic Regression,
Decision Trees, Random Forest, SVM (Linear Kernel), SVM
(RBF Kernel), SVM (Poly Kernel) and k-Nearest Neighbours.
Experiments with Principal Component Analysis for data
compression have also been performed and their incompetence
(with reasons) has been stated.",NC,,Feet
Eklund et al.,2023,Real-life ankle submovements and computer mouse use reflect patient-reported function in adult ataxias,United States,Ataxia (Cerebellar),,"Wearable, Accelerometer, Computer Mouse Tracking","LogR (Lasso Regression), Composite Machine Learning Models","Continuous movement tracking over 7 days, weekly computer mouse task over 4 weeks",LOPOCV,"ICC, PC","34 Ataxia, 8 Control","NAF, Own Recruitment","Use wearable sensors and computer-based motor tasks to develop interpretable, reliable motor measures that reflect patient-reported function, improving ataxia severity monitoring in clinical trials.","Novel disease-modifying therapies are being evaluated in spinocerebellar ataxias and multiple system atrophy. Clinician-performed disease rating scales are relatively insensitive for measuring disease change over time, resulting in large and long clinical trials. We tested the hypothesis that sensors worn continuously at home during natural behaviour and a web-based computer mouse task performed at home could produce interpretable, meaningful and reliable motor measures for potential use in clinical trials. Thirty-four individuals with degenerative ataxias (spinocerebellar ataxia types 1, 2, 3 and 6 and multiple system atrophy of the cerebellar type) and eight age-matched controls completed the cross-sectional study. Participants wore an ankle and wrist sensor continuously at home for 1 week and completed the Hevelius computer mouse task eight times over 4 weeks. We examined properties of motor primitives called 'submovements' derived from the continuous wearable sensors and properties of computer mouse clicks and trajectories in relationship to patient-reported measures of function (Patient-Reported Outcome Measure of Ataxia) and ataxia rating scales (Scale for the Assessment and Rating of Ataxia and the Brief Ataxia Rating Scale). The test-retest reliability of digital measures and differences between ataxia and control participants were evaluated. Individuals with ataxia had smaller, slower and less powerful ankle submovements during natural behaviour at home. A composite measure based on ankle submovements strongly correlated with ataxia rating scale scores (Pearson's r = 0.82-0.88), strongly correlated with self-reported function (r = 0.81), had high test-retest reliability (intraclass correlation coefficient = 0.95) and distinguished ataxia and control participants, including preataxic individuals (n = 4) from controls. A composite measure based on computer mouse movements and clicks strongly correlated with ataxia rating scale total (r = 0.86-0.88) and arm scores (r = 0.65-0.75), correlated well with self-reported function (r = 0.72-0.73) and had high test-retest reliability (intraclass correlation coefficient = 0.99). These data indicate that interpretable, meaningful and highly reliable motor measures can be obtained from continuous measurement of natural movement, particularly at the ankle location, and from computer mouse movements during a simple point-and-click task performed at home. This study supports the use of these two inexpensive and easy-to-use technologies in longitudinal natural history studies in spinocerebellar ataxias and multiple system atrophy of the cerebellar type and shows promise as potential motor outcome measures in interventional trials.",IC,,"Ankle, Wrist"
Lee et al.,2022,Analysis of Gait Sub-Movements to Estimate Ataxia Severity Using Ankle Inertial Data,United States,Ataxia (Cerebellar) ,Gait,"Wearable, IMU, Accelerometer","LogR, LASSO, SVR, RF, GP, Adaboost","Walking, Turning","LOSOCV, 7-Fold","RMSE, R^2","37 Ataxia, 12 Control",Own Recruitment,To estimate motor severity in cerebellar ataxia based on lower-limb movement decomposition,"Assessment of motor severity in cerebellar ataxia is critical for monitoring disease progression and evaluating the effectiveness of therapeutic interventions. Though wearable sensors have been used to monitor gait tasks in order to enable frequent assessment, existing solutions only estimate gait performance severity rather than comprehensive motor severity. In this study, we propose a new approach that analyzes sub-second movement profiles of the lower-limbs during gait to estimate overall motor severity in cerebellar ataxia. Methods: A total of 37 ataxia subjects and 12 healthy subjects performed a 5 m walk-and-turn task with two ankle-worn inertial sensors. Lower-limb movements were decomposed into one-dimensional sub-movements, namely movement elements. Supervised regression models trained on data features of movement elements estimated the Brief Ataxia Rating Scale (BARS) and its sub-scores evaluated by clinicians. The proposed models were also compared to models trained on widely-accepted spatiotemporal gait features. Results: Estimated total BARS showed strong agreement with clinician-evaluated scores with r^2 = 0.72 and a root mean square error of 2.6 BARS points. Movement element-based models significantly outperformed conventional, spatiotemporal gait feature-based models. Conclusion: The proposed algorithm accurately assessed overall motor severity in cerebellar ataxia using inertial data collected from bilaterally-placed ankle sensors during a simple walk-and-turn task. Significance: Our work could support fine-grained monitoring of disease progression and patients' responses to medical/clinical interventions.",IC,,Ankle
Fattahian et al.,2024,Predicting Disease Severity in Patients with Impaired Muscle Control Using Voice Parameters and Linear Regression,Iran,PD,,Speech,"LogR, LLS, SD",Voice parameter extraction and UPDRS score prediction,NA,MAE,"5,875 Record",UCI,"Develop a quantitative, automated system using voice parameters and regression models to predict disease severity based on UPDRS scores, offering consistent assessments for treatment optimization.","In the pursuit of enhanced healthcare for patients with impaired muscle control, addressing speech difficulties and predicting the severity of the condition is a pressing challenge. As the disease progresses continuously, effective treatment optimization is hindered for neurologists. To tackle these challenges, we explore an innovative method utilizing voice parameters and linear regression to predict the severity of the condition, quantified by the Unified Disease Rating Scale (UPDRS). This study utilizes the Least Linear Square (LLS) and steepest descent algorithms to calculate UPDRS scores from voice parameters and additional features. Notably, LLS demonstrates promising results with a mean error close to zero in both the training and testing subsets. The coefficient of determination (R2) near 0.9 signifies a strong correlation between predicted and actual UPDRS scores, despite occasional errors at single points. Furthermore, the steepest descent method exhibits behavior akin to LLS. This research provides a quantitative and objective approach to evaluate disease severity, promising more precise treatment strategies and improved patient care. By offering a better understanding of disease progression, it holds the potential to significantly enhance the quality of care for individuals with impaired muscle control.",IC,?,
Guarin et al.,2023,An Artificial Intelligence Video-Based Assessment of Upper-limb Bradykinesia in Parkinson's Disease,United States,Bradykinesia,,Video,LR,"Wrist pronation/supination, hand open/close, finger tapping (all tasks from MDS-UPDRS)",LOPOCV,R,8 PD,Own Recruitment,"Develop and validate a method utilizing an inexpensive, off-the-shelf hand-tracking device to objectively quantify bradykinesia in PD patients. The study aimed to provide a reliable and accessible tool for both clinical and home-based symptom tracking, addressing the limitations of subjective observational techniques.","Quantification of bradykinesia (slowness of movement) is crucial for the treatment and monitoring of Parkinson's disease. Subjective observational techniques are the de-facto 'gold standard', but such clinical rating scales suffer from poor sensitivity and inter-rater variability. Although various technologies have been developed for assessing bradykinesia in recent years, most still require considerable expertise and effort to operate. Here we present a novel method to utilize an inexpensive off-the-shelf hand-tracker (Leap Motion) to quantify bradykinesia. Approach: Eight participants with Parkinson's disease receiving benefit from deep brain stimulation were recruited for the study. Participants were assessed 'on' and 'off' stimulation, with the 'on' condition repeated to evaluate reliability. Participants performed wrist pronation/supination, hand open/close, and finger-tapping tasks during each condition. Tasks were simultaneously captured by our software and rated by three clinicians. A linear regression model was developed to predict clinical scores and its performance was assessed with leave-one-subject-out cross validation. Main results: Aggregate bradykinesia scores predicted by our method were in strong agreement (R?=?0.86) with clinical scores. The model was able to differentiate therapeutic states and comparison between the test-retest conditions yielded no significant difference (p?=?0.50). Significance: These findings demonstrate that our method can objectively quantify bradykinesia in agreement with clinical observation and provide reliable measurements over time. The hardware is readily accessible, requiring only a modest computer and our software to perform assessments, thus making it suitable for both clinic- and home-based symptom tracking.",IC,,
Tong et al.,2022,A Parkinson's Bradykinesia Recognition System Based on Deep Learning Method,China,Bradykinesia,,"Wearable,  Wristband, Anklet, Triaxial Accelerometer",LSTM,"Wrist pronation/supination, hand open/close, foot tapping",NA,"Accuracy, F1-Score, Loss, Recall, Specificity","26 PD, 15 Control",Own Recruitment,Scoring bradykensia severity,"Parkinson's
disease
is
a
neurodegenerative
disease common in middle-aged and elderly people, and
bradykinesia is one of the most obvious symptoms. In this
study, A deep
learning-based Parkinson's bradykinesia
recognition system is designed which has an inertial sensor-
based data acquisition system. It can wirelessly collect
bradykinesia kinematic information by wearing it on the wrist
and ankle of Parkinson's patients. In addition, a method for
identifying the symptom of Parkinson's bradykinesia based on
Long Short Term Memory (LSTM) Network is proposed, with
an accuracy of 98.6%. It provides a feasible method to identify
Parkinson bradykinesia to assist the diagnosis and treatment.",NC,,Wrist
Sahlin et al.,2021,Prediction and detection of freezing of gait in Parkinson�s disease from plantar pressure data using long short-term memory neural-networks,Canada,FoG,,Plantar Pressure,LSTM,"Walking, Turning",LOOCV,"Sensitivity, Specificity, Precision, F1-Score",11 PD,Own Recruitment,Detection and prediction of freezing of gait in Parkinson�s disease using plantar pressure data,"Background: Freezing of gait (FOG) is a walking disturbance in advanced stage Parkinson�s disease (PD) that has
been associated with increased fall risk and decreased quality of life. Freezing episodes can be mitigated or prevented
with external intervention such as visual or auditory cues, activated by FOG prediction and detection systems. While
most research on FOG detection and prediction has been based on inertial measurement unit (IMU) and accelerometer
data, plantar-pressure data may capture subtle weight shifts unique to FOG episodes. Different machine learning
algorithms have been used for FOG detection and prediction; however, long short-term memory (LSTM) deep
learning methods hold an advantage when dealing with time-series data, such as sensor data. This research aimed
to determine if LSTM can be used to detect and predict FOG from plantar pressure data alone, specifically for use in a
real-time wearable system.
Methods: Plantar pressure data were collected from pressure-sensing insole sensors worn by 11 participants with PD
as they walked a predefined freeze-provoking path. FOG instances were labelled, 16 features were extracted, and the
dataset was balanced and normalized (z-score). The resulting datasets were classified using long short-term memory
neural-network models. Separate models were trained for detection and prediction. For prediction models, data
before FOG were included in the target class. Leave-one-freezer-out cross validation was used for model evaluation. In
addition, the models were tested on all non-freezer data to determine model specificity.
Results: The best FOG detection model had 82.1% (SD 6.2%) mean sensitivity and 89.5% (SD 3.6%) mean specificity
for one-freezer-held-out cross validation. Specificity improved to 93.3% (SD 4.0%) when ignoring inactive state data
(standing) and analyzing the model only on active states (turning and walking). The model correctly detected 95% of
freeze episodes. The best FOG prediction method achieved 72.5% (SD 13.6%) mean sensitivity and 81.2% (SD 6.8%)
mean specificity for one-freezer-held-out cross validation.
Conclusions: Based on FOG data collected in a laboratory, the results suggest that plantar pressure data can be used
for FOG detection and prediction. However, further research is required to improve FOG prediction performance,
including training with a larger sample of people who experience FOG.",NC,,
